attack,drift,offset,eta,n_generated,n_excluded_early_crossing,n_retained,n_positive,n_negative
0.2,0.03,-0.002,0.04910526315789474,200,9,191,188,3
0.2,0.03,0.0,0.051105263157894744,200,38,162,162,0
0.2,0.03,0.002,0.053105263157894746,200,119,81,81,0
0.2,0.03,0.004,0.05510526315789474,200,183,17,17,0
0.2,0.03,0.008,0.059105263157894744,200,200,0,0,0
0.25,0.03,-0.008,0.04051973684210526,200,0,200,10,190
0.25,0.03,-0.004,0.044519736842105265,200,0,200,162,38
0.25,0.03,-0.002,0.04651973684210526,200,11,189,189,0
0.25,0.03,0.0,0.04851973684210526,200,57,143,143,0
0.25,0.03,0.002,0.05051973684210526,200,142,58,58,0
0.25,0.03,0.004,0.05251973684210526,200,192,8,8,0
0.25,0.03,0.008,0.05651973684210526,200,200,0,0,0
0.3,0.03,-0.008,0.03767073170731708,200,0,200,5,195
0.3,0.03,-0.004,0.04167073170731708,200,0,200,153,47
0.3,0.03,-0.002,0.04367073170731708,200,7,193,193,0
0.3,0.03,0.0,0.04567073170731708,200,46,154,154,0
0.3,0.03,0.002,0.04767073170731708,200,139,61,61,0
0.3,0.03,0.004,0.049670731707317076,200,190,10,10,0
0.3,0.03,0.008,0.05367073170731708,200,200,0,0,0
0.35,0.03,-0.008,0.03490625000000001,200,0,200,9,191
0.35,0.03,-0.004,0.03890625,200,1,199,151,48
0.35,0.03,-0.002,0.040906250000000005,200,9,191,191,0
0.35,0.03,0.0,0.04290625000000001,200,51,149,149,0
0.35,0.03,0.002,0.04490625000000001,200,124,76,76,0
0.35,0.03,0.004,0.04690625000000001,200,190,10,10,0
0.35,0.03,0.008,0.05090625000000001,200,200,0,0,0
0.4,0.03,-0.008,0.032136986301369866,200,0,200,4,196
0.4,0.03,-0.004,0.03613698630136987,200,1,199,155,44
0.4,0.03,-0.002,0.038136986301369864,200,12,188,188,0
0.4,0.03,0.0,0.040136986301369866,200,45,155,155,0
0.4,0.03,0.002,0.04213698630136987,200,132,68,68,0
0.4,0.03,0.004,0.04413698630136986,200,191,9,9,0
0.4,0.03,0.008,0.048136986301369866,200,200,0,0,0
