scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,margin_mean,margin_q05,margin_q50,margin_q95,psi_mean,psi_q05,psi_q50,psi_q95,p_secure,p_transition,p_insecure
transition_margin,88.0,0.09892671345274257,0.09273593799099193,0.09898397402325337,0.10369749659578925,0.02214348329684274,-0.008075659190884325,0.021607168654132754,0.062067352971580725,0.20130439360766128,-0.07341508355349385,0.1964288059466614,0.5642486633780066,0.8533333333333334,0.05333333333333334,0.09333333333333334
transition_margin,89.0,0.09886596138402988,0.09367864250549911,0.09887922907719703,0.10444118571278936,0.022519864861999767,-0.012695057885844699,0.022274840876152,0.055878938682780314,0.2047260441999979,-0.11540961714404273,0.20249855341956363,0.5079903516616392,0.8466666666666667,0.06,0.09333333333333334
transition_margin,90.0,0.09943926538877833,0.09458468628888655,0.09919346391536608,0.10448832093851472,0.01885280594677767,-0.012987396884658733,0.020272888741257374,0.049959239974013234,0.1713891449707061,-0.1180672444059885,0.18429898855688523,0.45417490885466577,0.8066666666666666,0.06,0.13333333333333333
transition_margin,91.0,0.09889598826856605,0.09404001256939352,0.09908871896930974,0.10396459620823295,0.022343990512228656,-0.009736727389377201,0.020939851387165306,0.05351505766764393,0.20312718647480596,-0.08851570353979274,0.19036228533786642,0.4865005242513085,0.8533333333333334,0.04666666666666667,0.1
transition_margin,92.0,0.09916762682867218,0.0940033518382738,0.0994029538074788,0.1040693411542893,0.02057585733178193,-0.01038753973855018,0.0189400259802282,0.05375401272304786,0.18705324847074487,-0.09443217944136528,0.1721820543657109,0.4886728429367987,0.86,0.03333333333333333,0.10666666666666667
transition_margin,93.0,0.09893020495094444,0.09385147166649209,0.0987221116581125,0.10417408610034566,0.022114397580317288,-0.011038012561244485,0.023277059956414766,0.054747265670403375,0.20103997800288445,-0.10034556873858623,0.21160963596740695,0.49770241518548525,0.8333333333333334,0.05333333333333334,0.11333333333333333
transition_margin,94.0,0.09925980238120177,0.09442233162249922,0.09908871896930974,0.10423169582067665,0.02000191606417214,-0.01139550211556172,0.020939851387165306,0.05101792569721463,0.18183560058338308,-0.10359547377783383,0.19036228533786642,0.463799324520133,0.7933333333333333,0.06,0.14666666666666667
transition_margin,95.0,0.09960825390174924,0.09510841101916832,0.09966481617261967,0.10413742536922593,0.01776753127493273,-0.010809755715138317,0.017275980450603575,0.04655031882079479,0.16152301159029755,-0.09827050650125743,0.15705436773275977,0.42318471655267986,0.8066666666666666,0.07333333333333333,0.12
transition_margin,96.0,0.09969903285499808,0.09457421179428092,0.09997905101078873,0.10417408610034566,0.017190122476843723,-0.011038012561244485,0.01528198289596799,0.05002769549562071,0.1562738406985793,-0.10034556873858623,0.13892711723607265,0.45479723177837006,0.8333333333333334,0.04,0.12666666666666668
transition_margin,97.0,0.0996641178729793,0.09521315596522467,0.09966481617261967,0.10484969100240914,0.017426736147954452,-0.015225466823344306,0.017275980450603575,0.04586963955501315,0.15842487407231323,-0.1384133347576755,0.15705436773275977,0.4169967232273923,0.7933333333333333,0.04666666666666667,0.16
transition_margin,98.0,0.10035543451695123,0.09488844663244998,0.10024091337592961,0.10522153556090919,0.013047568818228971,-0.017524132908818595,0.01362269347064565,0.047981125466202396,0.11861426198389974,-0.1593102991710781,0.12384266791496044,0.43619204969274905,0.7,0.08,0.22
transition_margin,99.0,0.1004511015676827,0.09526029119095003,0.10076463810621138,0.10495443594846549,0.012421717168921704,-0.015873419592777386,0.010310778634181336,0.045563499249059725,0.11292470153565186,-0.14430381447979443,0.09373435121983033,0.4142136295369066,0.6866666666666666,0.11333333333333333,0.2
