replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
39,0.06455247922086829,0.057017548162670295,0.9584655444422416,0.19170136335862045,1.1348302274051691,2.428428646533502,1.2533780750659087
40,0.0667024432593708,0.05573163256869045,0.8309961706819231,0.16372094998867756,1.171838067143598,2.422922392658254,1.3433596027794963
41,0.06422936732270912,0.053659669371840815,0.9498242957972289,0.18299155134392125,1.174819478495806,2.8369992182464774,1.4673339582175058
42,0.0664462351340465,0.05382596317837678,0.8296555608255252,0.1969093248731495,1.0901344387436542,2.8336397432616476,1.3502105874464472
43,0.06494616677821315,0.06018630432363988,0.8631172636210909,0.1797980469741061,1.0841976348789033,2.498897650672614,1.3830419451418468
44,0.06601117682546165,0.0546622715215243,0.8704749535516033,0.1726730778468859,0.9948145223668827,2.6354814414939423,1.3212924990261685
45,0.06676524213005562,0.05484262600124612,0.8264768645502159,0.18490315904181576,1.136550235180558,2.4135248096627717,1.4276062681426178
46,0.06751070765838693,0.05056238128007919,0.874073888992687,0.16771288307701213,1.2029965744511508,2.3806928224771506,1.2354705643106076
47,0.06664117781135274,0.052092477917939896,0.8336124882208681,0.1952145683975509,1.004990615475643,2.707787443265618,1.4831556442924678
48,0.06647003905493074,0.051698212967799,0.8919997343503155,0.17905979431255353,1.1929681142253785,2.4245996370051315,1.3965575608802183
49,0.06763257664352046,0.04995006886241979,0.8539127693963432,0.16957007979743005,1.021206768300249,2.4023062420268504,1.356792882307438
50,0.06600918097115002,0.05037444344959916,0.9423874109964134,0.1690876195905708,1.091999690992657,2.3401417522273564,1.430510365871478
51,0.06583658649839837,0.05690490973943672,0.8403750918352386,0.17240323545874595,1.1145058610962855,2.762338471040533,1.300516289355536
52,0.06490325504637806,0.05340536678854516,0.9650576311894576,0.1824854890017582,1.015561096578703,2.584445795391857,1.2948036069751667
53,0.06360264016953834,0.06013502668131844,0.969663141744681,0.1719092930630694,1.2018122371599644,2.4625462708345185,1.2602250536174062
54,0.06586795145650041,0.056505178494448624,0.8710469392781607,0.1694020606893081,1.0128276781107919,2.5745257150692407,1.2515999252841352
55,0.06518414019195184,0.05126206942520983,0.975453432950716,0.1623655469805102,0.9943801201780713,2.66513960335736,1.2602291470489568
56,0.06593075831768193,0.04993529358465704,0.9396392529327035,0.16394387887411255,1.0779973506033167,2.6410476937803105,1.3260382485267013
57,0.06668056266741176,0.052977628523454355,0.8557269145038313,0.1695775520111646,1.0127505867646744,2.598281534624149,1.3256608511294514
58,0.0642017101101701,0.05662849630451953,0.962518520118404,0.1823238540260475,1.1164530808831366,2.388385450397609,1.425379305915967
59,0.06343385836191595,0.054467119074942755,0.9853339240151118,0.176288972917894,1.1173526031118004,2.8446561515133633,1.4789853806063729
60,0.06504047607139354,0.054051405007743636,0.911562561975409,0.1761713308163855,1.1807569449239301,2.7463428512809527,1.4184127075101172
61,0.06773697778248686,0.049723417436070505,0.8267395960096573,0.19677711742409915,1.1474031222950276,2.4371384154476026,1.4783592842509243
62,0.06648506476472259,0.05308418262712672,0.8428540919339338,0.17568080730186814,1.0634578988913406,2.74929519683753,1.3753941674084698
63,0.06472366154815282,0.05699444355845333,0.8958373740473718,0.17641190720575772,1.1799897051087436,2.6635457702353933,1.4362383524021336
64,0.06583954416426804,0.05190212143665427,0.9540543132983972,0.18966964553969623,1.0635558310205746,2.4290153170193105,1.2293577534142994
65,0.06534159740355265,0.05275587952885524,0.9551786517788672,0.19558380351323218,1.1584450419763503,2.4097778916495782,1.3506644976930058
66,0.06636383476849905,0.05366147624690461,0.8528231822978446,0.18447907797212482,1.032553891870679,2.575974008490204,1.4182113847120397
67,0.0645578788286084,0.055128496374753165,0.9127275123052899,0.17790235899159584,1.0262101524327256,2.858903541784416,1.4347895689396928
68,0.06443144729989511,0.05868189952626967,0.9246378904082793,0.19379838056806997,1.138059074705337,2.4106988330545196,1.3791280367915757
69,0.06480750839022184,0.05436183525159382,0.9675420179659672,0.18278809766147386,1.136519095724323,2.513477176696093,1.2763374937777074
70,0.0642928136160594,0.056457084612693526,0.9108179852437359,0.1805755333762784,1.1316960030999532,2.778255082058431,1.4829153946490845
71,0.0668670610069004,0.05128657526874717,0.8531471994937294,0.18554518570769007,1.0082996142167913,2.5735532361727733,1.4298842992544538
72,0.06423915718427045,0.058486075779224656,0.9226118382171424,0.17084020188242632,1.0329893295310622,2.7758345581731008,1.256781652450205
