t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
62.0,0.075,0.16,0.015,10000,9547,0.10188291325400753,0.10128836283649315,0.007007598154589453,0.1934662721273699,0.06370543776899502,0.15058899377440768,-0.0026186236514088163,secure,transition_margin,65
63.0,0.075,0.16,0.015,10000,9547,0.10165551085681744,0.0978317796166335,0.0289711596180488,0.19087383471247515,0.26337417834589816,0.0602967753939451,-0.0010474494605635307,secure,transition_margin,65
64.0,0.075,0.16,0.015,10000,9547,0.10143068111559764,0.09919346391536608,0.020272888741257374,0.1918950979365246,0.18429898855688523,-0.14464134392799255,0.002513878705352461,secure,transition_margin,65
65.0,0.075,0.16,0.015,10000,9547,0.10120927060333446,0.10285953702733842,-0.0028499360461095614,0.19464465277050386,-0.025908509510086924,-0.02117653198813388,0.0003666073111972326,insecure,transition_margin,65
66.0,0.075,0.16,0.015,10000,9547,0.10099211652114527,0.09992667853776055,0.015614051703867923,0.19244500890332045,0.14194592458061747,-0.017824282202655813,0.0003142348381690585,secure,transition_margin,65
67.0,0.075,0.16,0.015,10000,9547,0.10078004440356854,0.10348800670367654,-0.00677127813069384,0.19511600502775744,-0.061557073915398546,-0.012065644945621137,0.0002094898921127103,insecure,transition_margin,65
68.0,0.075,0.16,0.015,10000,9547,0.1005738658558309,0.10034565832198597,0.012959609815831271,0.1927592437414895,0.1178146346893752,0.15331723413132975,-0.0026709961244369904,secure,transition_margin,65
69.0,0.075,0.16,0.015,10000,9547,0.1003743763292938,0.09814601445480256,0.02695851337819871,0.19110951084110195,0.24507739434726097,-0.05994754895110942,0.0010474494605635237,secure,transition_margin,65
70.0,0.075,0.16,0.015,10000,9547,0.10018235294117647,0.10244055724311302,-0.0002288509534127993,0.1943304179323348,-0.0020804632128436297,0.018311457160702385,-0.0003142348381690585,transition,transition_margin,65
71.0,0.075,0.16,0.015,10000,9547,0.09999855234453169,0.09751754477846444,0.03098703395355323,0.19063815858384836,0.28170030866866574,0.01791801311999156,-0.0003142348381690585,secure,transition_margin,65
72.0,0.075,0.16,0.015,10000,9547,0.09982370865431239,0.1018120875667749,0.0037131119329853433,0.1938590656750812,0.03375556302713949,-0.08194283698964527,0.0014140567717607633,secure,transition_margin,65
73.0,0.075,0.16,0.015,10000,9547,0.09965853143521358,0.10034565832198597,0.012959609815831271,0.1927592437414895,0.1178146346893752,-0.041721109790054944,0.0007332146223944722,secure,transition_margin,65
74.0,0.075,0.16,0.015,10000,9547,0.09950370375680483,0.10327851681156384,-0.005465532220826744,0.19495888760867292,-0.0496866565529704,0.03627382532424561,-0.000628469676338117,insecure,transition_margin,65
75.0,0.075,0.16,0.015,10000,9547,0.09935988032128408,0.09908871896930974,0.020939851387165306,0.19181653922698233,0.19036228533786642,0.2302493635674196,-0.003980307950141405,secure,transition_margin,65
76.0,0.075,0.16,0.015,10000,9547,0.09922768566898438,0.09531790091128103,0.04518932776400557,0.1889884256834608,0.4108120705818688,-0.08428231114963855,0.0014664292447889374,secure,transition_margin,65
77.0,0.075,0.16,0.015,10000,9547,0.0991077124665523,0.10202157745888761,0.002397742934244825,0.19401618309416574,0.02179766303858932,-0.1374518803451705,0.002356761286267939,secure,transition_margin,65
78.0,0.075,0.16,0.015,10000,9547,0.0990005198824898,0.10003142348381691,0.014949914088068058,0.1925235676128627,0.1359083098915278,0.038975993763990475,-0.0006808421493662911,secure,transition_margin,65
79.0,0.075,0.16,0.015,10000,9547,0.09890663205451233,0.10065989316015503,0.01097246156232273,0.1929949198701163,0.09974965056657027,-0.21324268848755973,0.003770818058028695,secure,transition_margin,65
80.0,0.075,0.16,0.015,10000,9547,0.09882653665292362,0.1075730595998743,-0.03196347737919508,0.19817979469990576,-0.29057706708359166,0.03924463100368202,-0.0006808421493662981,insecure,transition_margin,65
81.0,0.075,0.16,0.015,10000,9547,0.09876068354394542,0.09929820886142243,0.019606280383132776,0.19197365664606686,0.17823891257393432,0.07019291824106826,-0.001256939352676234,secure,transition_margin,65
