eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase,dp_secure_deta,profile_attack,profile_drift
0.0925,0.35,0.03,10000,250,9040,0.14843598426254234,0.14813938053097345,0.0038684046013750853,0.1404258849557522,0.14823008849557523,0.1557024336283186,-0.2780041140038934,0.01953691717504494,-0.31570272458369086,-0.27863234513409296,-0.2385517638962244,-2.527310127308121,0.17760833795495404,-2.8700247689426446,-2.533021319400845,-2.1686523990565854,0.3656045353982301,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.095,0.35,0.03,10000,250,9040,0.15093598426254234,0.15094557522123894,0.0033266738952525206,0.14465431415929206,0.15110619469026548,0.1573008849557522,-0.2921247254492432,0.01658049617673306,-0.3234719737253028,-0.2930490019576554,-0.260444357990743,-2.6556793222658475,0.150731783424846,-2.940654306593662,-2.6640818359786853,-2.367675981734027,0.36770918141592923,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0975,0.35,0.03,10000,250,9040,0.15343598426254235,0.15327522123893805,0.003887885555896298,0.14551438053097346,0.153429203539823,0.16092643805309734,-0.30363062674999497,0.019193959544398374,-0.34088826100008107,-0.3045572452529063,-0.2648461171862636,-2.760278424999954,0.17449054131271252,-3.098984190909828,-2.7687022295718755,-2.4076919744205783,0.3694564159292036,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.09999999999999999,0.35,0.03,10000,250,9040,0.15593598426254232,0.1559026548672566,0.003551089154895956,0.14891869469026547,0.15564159292035398,0.1623644911504425,-0.31654147832681384,0.01728402075528669,-0.34771824267105905,-0.31540600153050524,-0.2821011005448639,-2.877649802971035,0.15712746141169717,-3.1610749333732637,-2.8673272866409567,-2.564555459498763,0.3714269911504425,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1025,0.35,0.03,10000,250,9040,0.15843598426254232,0.15862964601769908,0.003719219259392036,0.15162334070796463,0.15851769911504424,0.16640763274336284,-0.3297390690208746,0.0178991943177973,-0.36668673547795805,-0.3293489014321088,-0.29562119072827264,-2.997627900189768,0.1627199483436118,-3.333515777072346,-2.99408092211008,-2.687465370257024,0.3734722345132743,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.105,0.35,0.03,10000,250,9040,0.16093598426254233,0.16097079646017698,0.003675552477491374,0.1540320796460177,0.16106194690265488,0.16801714601769913,-0.3409559638251948,0.017496288775574437,-0.3741425261731977,-0.3415337591174784,-0.30752416100833674,-3.099599671138134,0.15905717068704028,-3.401295692483616,-3.10485235561344,-2.7956741909848795,0.3752280973451328,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1075,0.35,0.03,10000,250,9040,0.16343598426254233,0.16399823008849557,0.0035950901356485068,0.1576825221238938,0.1638274336283186,0.17146017699115043,-0.35528913782426236,0.016866063798636678,-0.3899140457238567,-0.354621439670708,-0.32531855872100995,-3.2299012529478395,0.1533278527148789,-3.5446731429441516,-3.2238312697337093,-2.957441442918272,0.3774986725663717,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.11,0.35,0.03,10000,250,9040,0.16593598426254233,0.16621681415929201,0.003915258747937672,0.1592063053097345,0.16620575221238937,0.17373340707964602,-0.36564052229964666,0.018206743117261715,-0.4001943923809583,-0.3657478881801257,-0.3326604813540064,-3.324004748178606,0.16551584652056106,-3.6381308398268937,-3.3249808016375066,-3.024186194127331,0.379162610619469,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1125,0.35,0.03,10000,250,9040,0.16843598426254233,0.16838407079646014,0.0039846003754643484,0.16039823008849557,0.168141592920354,0.17588495575221239,-0.3756723794687584,0.018372174275199684,-0.409828921669661,-0.3747173504762972,-0.3383684991765271,-3.4152034497159853,0.16701976613817895,-3.725717469724191,-3.406521367966338,-3.0760772652411554,0.38078805309734515,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.11499999999999999,0.35,0.03,10000,250,9040,0.1709359842625423,0.1709619469026549,0.003817261671298366,0.16414823008849558,0.1706858407079646,0.17882190265486725,-0.38749915969067356,0.017385268175893837,-0.42283164884248714,-0.3863882850060908,-0.35612878273967663,-3.522719633551577,0.1580478925081258,-3.8439240803862464,-3.5126207727826437,-3.237534388542515,0.38272146017699116,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1175,0.35,0.03,10000,250,9040,0.1734359842625423,0.17315884955752214,0.003948314221600018,0.16595409292035398,0.17300884955752213,0.1804811946902655,-0.3974495269070757,0.017805311999397316,-0.43010280104722143,-0.3969290755303544,-0.3645761562309412,-3.6131775173370513,0.1618664727217938,-3.910025464065649,-3.60844614118504,-3.3143286930085565,0.3843691371681416,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.12,0.35,0.03,10000,250,9040,0.1759359842625423,0.1762920353982301,0.0040792300158639236,0.16869469026548672,0.17621681415929202,0.18394634955752212,-0.411476563092686,0.01817275784125862,-0.4451142014135301,-0.41130672894909936,-0.37726581436611417,-3.7406960281153268,0.16520688946598747,-4.046492740123001,-3.739152081355449,-3.4296892215101287,0.3867190265486726,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1225,0.35,0.03,10000,250,9040,0.1784359842625423,0.1783061946902655,0.00393651927067426,0.1710066371681416,0.1782632743362832,0.18574115044247788,-0.4204089681498557,0.01733717378970128,-0.4527989209143824,-0.42037159497754595,-0.38785009035331314,-3.8218997104532337,0.15761067081546618,-4.116353826494386,-3.8215599543413266,-3.525909912302847,0.3882296460176991,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.125,0.35,0.03,10000,250,9040,0.18093598426254232,0.18057522123893807,0.003697984529744623,0.17350110619469025,0.18030973451327434,0.18805309734513273,-0.43038055608148695,0.016127353446867505,-0.4626074605972724,-0.4293540268628454,-0.3991486202539419,-3.9125505098317,0.14661230406243186,-4.205522369066113,-3.9032184260258673,-3.6286238204903807,0.3899314159292036,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1275,0.35,0.03,10000,250,9040,0.18343598426254232,0.1829429203539823,0.004253822159645707,0.17493915929203538,0.18301991150442476,0.1909153761061947,-0.4406175260759458,0.018374703981331435,-0.47461007342021955,-0.4411238922072769,-0.40560504725193075,-4.005613873417689,0.16704276346664942,-4.314637031092905,-4.010217201884336,-3.6873186113811887,0.3917071902654868,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.13,0.35,0.03,10000,250,9040,0.18593598426254232,0.18558805309734513,0.003963653038321736,0.17831858407079645,0.18528761061946902,0.1932383849557522,-0.45199683461726753,0.01690616474152549,-0.484239146820758,-0.4508632134979679,-0.4206154740436533,-4.10906213288425,0.15369240674114085,-4.402174062006891,-4.098756486345162,-3.8237770367604846,0.39369103982300885,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1325,0.35,0.03,10000,250,9040,0.18843598426254232,0.18841415929203537,0.0038056321672552337,0.1810840707964602,0.18805309734513273,0.19621404867256637,-0.4639940678398707,0.0160201950921607,-0.4964282102161705,-0.4626074605972724,-0.4327314131005361,-4.21812788945337,0.1456381372014609,-4.512983729237914,-4.205522369066113,-3.9339219372776006,0.3958106194690265,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.135,0.35,0.03,10000,250,9040,0.19093598426254232,0.19132566371681414,0.004563708250894782,0.18168694690265486,0.1913716814159292,0.20030696902654868,-0.476125054293777,0.018990058801432782,-0.5129289028546623,-0.4765099223405077,-0.43535278708944875,-4.328409584488882,0.17263689819484349,-4.662990025951476,-4.3319083849137066,-3.9577526099040794,0.39799424778761067,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.1375,0.35,0.03,10000,250,9040,0.19343598426254233,0.1930486725663717,0.004113261109547315,0.18506637168141593,0.193141592920354,0.2017450221238938,-0.48330107117464766,0.016954281281919555,-0.5186545670765422,-0.4838404299247999,-0.4499173807764095,-4.393646101587706,0.1541298298356323,-4.715041518877657,-4.398549362952727,-4.090158007058268,0.3992865044247788,0.0,0.0,1.0,insecure,0.0,0.35,0.03
