eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase
0.035,0.05,0.005,10000,250,9855,0.051935984262542347,0.05209538305428717,0.002257255788973964,0.04830035514967022,0.052257737189244036,0.056258244545915784,0.37674359925668444,0.018913115121149963,0.3422440554553992,0.37523676415289847,0.4087941451629195,3.4249418114244037,0.17193741019227235,3.1113095950490837,3.411243310480895,3.7163104105719955,0.07607153729071536,1.0,0.0,0.0,secure
0.0375,0.05,0.005,10000,250,9855,0.054435984262542335,0.054389041095890406,0.0022653657508043693,0.04996955859969559,0.05438863521055302,0.058503297818366315,0.35769002370798514,0.018682264786630227,0.32411022497752684,0.35754974461582295,0.3945243827173122,3.2517274882544096,0.1698387707875475,2.9464565907047895,3.2504522237802087,3.586585297430111,0.0777917808219178,1.0,0.0,0.0,secure
0.04,0.05,0.005,10000,250,9855,0.05693598426254234,0.05675657026889904,0.0024062197406073435,0.0521790969051243,0.056722475900558095,0.060882800608828,0.3383496141082644,0.0195451777441336,0.30518065389002186,0.3384702769008007,0.375894551914173,3.075905582802404,0.17768343403757816,2.7743695808183806,3.0770025172800066,3.4172231992197544,0.07956742770167428,1.0,0.0,0.0,secure
0.0425,0.05,0.005,10000,250,9855,0.05943598426254234,0.05919878234398782,0.002392159225736784,0.054490106544901065,0.059107052257737186,0.0637239979705733,0.31869510660238054,0.01911362249377612,0.2829519048146207,0.3192794827723803,0.3567139358132167,2.8972282418398225,0.1737602044888738,2.572290043769279,2.902540752476184,3.2428539619383336,0.08139908675799087,1.0,0.0,0.0,secure
0.045000000000000005,0.05,0.005,10000,250,9855,0.06193598426254234,0.06205540334855403,0.0025853244318237967,0.056823947234906136,0.06199898528665652,0.0667453069507864,0.2961235096395254,0.02028270907551734,0.2597421169179073,0.2964003070682653,0.3376474818477215,2.6920319058138666,0.1843882643228849,2.3612919719809753,2.694548246075139,3.0695225622520135,0.08354155251141553,1.0,0.0,0.0,secure
0.0475,0.05,0.005,10000,250,9855,0.06443598426254234,0.06423703703703702,0.0023876001637844874,0.06009386098427194,0.06407914764079148,0.06943937087772704,0.27911597416720924,0.018415852740535928,0.23940378274183233,0.28020116296815073,0.31142467168271554,2.5374179469746294,0.16741684309578117,2.1763980249257484,2.547283299710461,2.8311333789337776,0.08517777777777778,1.0,0.0,0.0,secure
0.05,0.05,0.005,10000,250,9855,0.06693598426254234,0.06714236428209032,0.0026863857212303366,0.06181887366818874,0.0671740233384069,0.07204464738711314,0.2568893133018145,0.020399624620498047,0.22004350172017154,0.25648333545338836,0.2978129704107948,2.3353573936528593,0.1854511329136186,2.0003954701833777,2.331666685939894,2.7073906400981347,0.08735677321156775,1.0,0.0,0.0,secure
0.052500000000000005,0.05,0.005,10000,250,9855,0.06943598426254234,0.06933170979198378,0.0025098056402548387,0.06463723997970573,0.06940639269406393,0.07415271435819382,0.2403504415980756,0.018828240178941885,0.20459331357031701,0.23965040471779445,0.2758906580329467,2.18500401452796,0.17116581980856257,1.8599392142756093,2.1786400428890405,2.5080968912086066,0.08899878234398782,1.0,0.0,0.0,secure
0.055,0.05,0.005,10000,250,9855,0.07193598426254233,0.07190948756976155,0.0026458724149240513,0.0669710806697108,0.0715372907153729,0.07757990867579909,0.22119087018500283,0.019484718020013583,0.17987175112100964,0.22379041033694827,0.2580248762090623,2.0108260925909343,0.17713380018194166,1.635197737463724,2.034458275790439,2.345680692809657,0.09093211567732115,1.0,0.0,0.0,secure
0.0575,0.05,0.005,10000,250,9855,0.07443598426254233,0.07425428716387622,0.0025204829912700184,0.06879756468797564,0.07437848807711821,0.07851598173515982,0.20398695495148889,0.018401990778748867,0.1732025563265702,0.20294971863528646,0.2442188416671676,1.854426863195353,0.16729082526135336,1.5745686938779109,1.8449974421389679,2.2201712878833417,0.09269071537290717,1.0,0.0,0.0,secure
