phase_margin,attack,drift,eta_c_psecure50,max_abs_dp_deta,eta_at_max_abs_dp_deta
0.05,0.2,0.005,0.07851648351648352,112.0,0.08
0.05,0.25,0.005,0.07584558823529411,109.59999999999991,0.075
0.05,0.3,0.005,0.07297101449275362,111.99999999999989,0.0725
0.05,0.35,0.005,0.07027777777777777,113.60000000000022,0.06999999999999999
0.05,0.4,0.005,0.06705357142857143,112.00000000000006,0.0675
0.05,0.05,0.01,0.08113636363636363,112.00000000000027,0.08
0.05,0.1,0.01,0.07844512195121951,121.5999999999999,0.0775
0.05,0.15,0.01,0.07579710144927536,111.1999999999999,0.075
0.05,0.2,0.01,0.07289634146341463,119.1999999999999,0.0725
0.05,0.25,0.01,0.0703125,107.20000000000023,0.06999999999999999
0.05,0.3,0.01,0.06725609756097561,120.00000000000017,0.0675
0.05,0.35,0.01,0.06448795180722891,123.9999999999999,0.065
0.05,0.4,0.01,0.061785714285714284,120.00000000000006,0.0625
0.05,0.05,0.02,0.06965116279069766,116.80000000000038,0.06999999999999999
0.05,0.1,0.02,0.06746478873239437,120.00000000000027,0.0675
0.05,0.15,0.02,0.06476562500000001,118.39999999999989,0.065
0.05,0.2,0.02,0.061485507246376817,112.00000000000006,0.0625
0.05,0.25,0.02,0.059147058823529414,124.00000000000003,0.060000000000000005
0.05,0.3,0.02,0.05633116883116883,107.99999999999991,0.0575
0.05,0.35,0.02,0.05372093023255814,116.80000000000013,0.055
0.05,0.4,0.02,0.050551470588235295,107.1999999999999,0.05
0.05,0.05,0.03,0.058750000000000004,109.59999999999991,0.0575
0.05,0.1,0.03,0.056119402985074625,108.80000000000007,0.055
0.05,0.15,0.03,0.053762886597938146,123.20000000000013,0.055
0.05,0.2,0.03,0.050859375000000005,117.59999999999988,0.05
0.05,0.25,0.03,0.047824675324675325,115.20000000000005,0.0475
0.05,0.3,0.03,0.045160256410256415,116.00000000000009,0.045000000000000005
0.05,0.35,0.03,0.0421969696969697,113.59999999999988,0.0425
0.05,0.4,0.03,0.039558823529411764,110.39999999999989,0.04
